,Name,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,K_9,BB_9,K_BB,H_9,HR_9,WHIP,BABIP,LOB_PCT,FIP
96,이원식,Twins,33,1,0,3.375,13,0,0,0,1,0,0,16.0,74,19,8,6,2,7,0,1,1,0,13,7.3125,3.9375,1.857142857,10.6875,1.125,4.9375,0.333333333,0.785123967,4.5125
97,최원호,Twins,32,13,6,4.069237963,27,27,0,0,0,0,0,163.2,704,153,79,74,17,60,6,15,3,0,106,5.845588235,3.308823529,1.766666667,8.4375,0.9375,1.12745098,0.268774704,0.729676787,4.358088235
98,전병호,Lions,32,6,5,4.38533636,29,20,0,0,0,0,0,104.2,452,110,60,51,16,31,1,3,1,3,51,4.404990403,2.677543186,1.64516129,9.500959693,1.381957774,1.142034549,0.267806268,0.690789474,5.109788868
99,차명주,Eagles,31,4,1,5.881182566,77,0,0,0,0,0,12,33.2,152,46,23,22,3,9,0,4,2,0,17,4.608433735,2.439759036,1.888888889,12.46987952,0.813253012,1.686746988,0.361344538,0.656934307,4.163855422
100,김민기,Twins,28,4,7,8.018181818,28,9,0,0,0,0,4,55.0,263,88,54,49,11,10,3,4,0,0,37,6.054545455,1.636363636,3.7,14.4,1.8,2.163636364,0.383084577,0.554272517,5.0
101,장문석,Twins,30,5,5,3.75,27,12,1,0,7,0,0,84.0,368,93,40,35,2,31,1,5,4,0,60,6.428571429,3.321428571,1.935483871,9.964285714,0.214285714,1.464285714,0.337037037,0.705229794,3.188095238
102,최영필,Eagles,31,8,8,2.892857143,40,13,0,0,5,0,0,112.0,469,109,41,36,9,30,1,6,4,1,72,5.785714286,2.410714286,2.4,8.758928571,0.723214286,1.339285714,0.284090909,0.785498489,3.7625
103,황두성,Unicorns,28,11,9,3.28755606,60,5,0,0,1,0,7,128.2,535,106,53,47,15,41,1,6,5,0,137,9.617784711,2.878315133,3.341463415,7.44149766,1.053042122,1.04524181,0.270833333,0.757575758,3.543213729
104,이정훈,Giants,27,2,3,4.44,54,1,0,0,1,0,5,75.0,335,86,40,37,6,28,7,7,5,0,46,5.52,3.36,1.642857143,10.32,0.72,1.906666667,0.322580645,0.719360568,4.133333333
105,문동환,Eagles,33,10,9,3.472162093,26,26,1,0,0,0,0,173.2,739,174,74,67,12,57,2,3,3,0,103,5.352193995,2.961893764,1.807017544,9.041570439,0.623556582,1.045034642,0.287234043,0.73664825,3.898614319
106,오철민,Tigers,32,0,1,6.171410747,23,0,0,0,0,0,3,11.2,60,18,9,8,2,7,0,1,1,0,7,5.625,5.625,1.0,14.46428571,1.607142857,4.285714286,0.372093023,0.732758621,6.146428571
107,김해님,Eagles,30,6,8,4.277933438,32,21,0,0,1,0,2,128.1,554,152,66,61,12,30,0,10,1,0,61,4.285714286,2.107728337,2.033333333,10.67915691,0.843091335,1.303669009,0.317460317,0.719178082,4.167993755
108,김경태,Wyverns,29,0,1,5.029411765,42,0,0,0,2,0,3,34.0,166,45,24,19,3,15,1,1,0,0,24,6.352941176,3.970588235,1.6,11.91176471,0.794117647,2.470588235,0.341463415,0.651408451,4.258823529
109,김수경,Unicorns,25,7,7,5.75735068,17,17,1,0,0,0,0,90.2,408,106,60,58,17,39,0,3,4,0,70,6.984478936,3.89135255,1.794871795,10.57649667,1.696230599,1.263858093,0.318996416,0.708534622,5.395121951
110,김진웅,Lions,25,1,1,4.576263346,12,2,0,0,1,0,0,19.2,82,14,10,10,6,8,0,3,3,0,15,7.03125,3.75,1.875,6.5625,2.8125,3.489583333,0.16,0.903614458,6.95
111,김광삼,Twins,24,7,7,4.964532135,23,21,0,0,0,0,0,103.1,475,115,63,57,13,53,0,8,2,0,76,6.634335597,4.62657614,1.433962264,10.03879728,1.134820563,1.445198836,0.313846154,0.716096324,4.907080504
112,송신영,Unicorns,28,1,4,3.736605361,40,5,0,0,0,0,5,74.2,328,71,32,31,2,34,0,6,2,0,53,6.428571429,4.123989218,1.558823529,8.611859838,0.242587601,0.970350404,0.296137339,0.73012939,3.496495957
113,라형진,Lions,28,1,0,2.347831247,8,1,0,0,0,0,0,15.1,55,8,4,4,2,1,0,3,0,0,16,9.536423841,0.59602649,16.0,4.768211921,1.19205298,1.456953642,0.181818182,0.869565217,3.001324503
114,권오준,Lions,25,3,1,2.285714286,46,3,0,0,17,0,1,63.0,247,47,17,16,4,14,1,3,2,0,69,9.857142857,2.0,4.928571429,6.714285714,0.571428571,1.206349206,0.27388535,0.804794521,2.501587302
115,크루즈,Wyverns,32,7,4,3.0,15,15,0,0,0,0,0,81.0,346,69,33,27,6,29,2,8,4,1,50,5.555555556,3.222222222,1.724137931,7.666666667,0.666666667,1.62962963,0.249011858,0.74795082,4.002469136
116,바르가스,Lions,27,10,8,5.0625,26,26,0,0,0,0,0,128.0,561,120,78,72,12,63,0,7,10,1,66,4.640625,4.4296875,1.047619048,8.4375,0.84375,1.3125,0.261501211,0.64665127,4.8640625
